access_id,student_id,course_id,content_type,content_id,timestamp,time_spent_minutes
A00001,S1008,DS200,reading,DS200-R0504,2025-04-06 23:57:01,10
A00002,S1041,CS301,reading,CS301-R0703,2025-02-26 20:33:47,21
A00003,S1050,CS101,reading,CS101-R0104,2025-03-11 14:24:24,43
A00004,S1004,MATH150,reading,MATH150-R0304,2025-02-08 14:38:08,63
A00005,S1013,DS400,quiz,DS400-Q0304,2025-02-12 09:35:12,19
A00006,S1035,CS301,video,CS301-V1001,2025-05-01 11:27:33,57
A00007,S1046,MATH150,lecture,MATH150-L0101,2025-02-08 16:59:53,74
A00008,S1047,MATH150,quiz,MATH150-Q0104,2025-02-16 07:46:52,84
A00009,S1041,CS101,lecture,CS101-L0703,2025-02-16 14:11:47,90
A00010,S1022,CS301,discussion,CS301-D0105,2025-04-11 13:45:58,63
A00011,S1031,CS301,quiz,CS301-Q0205,2025-02-23 19:11:12,1
A00012,S1025,CS301,lecture,CS301-L1005,2025-03-08 17:15:57,43
A00013,S1044,MATH150,quiz,MATH150-Q0101,2025-03-09 08:15:54,69
A00014,S1022,CS101,quiz,CS101-Q0502,2025-02-19 00:28:33,71
A00015,S1003,CS301,assignment,CS301-A0403,2025-04-10 10:26:55,50
A00016,S1007,MATH150,quiz,MATH150-Q0204,2025-04-14 06:21:18,25
A00017,S1009,CS101,video,CS101-V0105,2025-02-25 00:38:10,63
A00018,S1025,CS101,discussion,CS101-D0504,2025-03-25 17:05:45,58
A00019,S1002,CS101,reading,CS101-R0103,2025-04-19 08:34:57,6
A00020,S1026,CS101,video,CS101-V0904,2025-04-08 16:57:41,69
A00021,S1010,DS400,video,DS400-V0201,2025-04-14 06:40:15,19
A00022,S1032,CS101,quiz,CS101-Q1001,2025-02-25 10:25:00,90
A00023,S1042,DS200,lecture,DS200-L0301,2025-04-30 16:56:29,40
A00024,S1007,CS301,discussion,CS301-D0305,2025-02-08 01:57:27,14
A00025,S1008,CS301,discussion,CS301-D1002,2025-02-07 23:58:57,26
A00026,S1028,MATH150,assignment,MATH150-A0703,2025-02-13 14:24:56,88
A00027,S1037,DS400,video,DS400-V0602,2025-04-17 01:42:20,6
