course_id,assignment_id,graded,late,pending,resubmitted,submitted
CS101,A001,10.0,8.0,8.0,9.0,8.0
CS101,A002,6.0,5.0,9.0,10.0,8.0
CS101,A003,7.0,9.0,6.0,9.0,5.0
CS101,A004,9.0,9.0,9.0,7.0,3.0
CS101,A005,3.0,5.0,7.0,7.0,7.0
CS301,A016,10.0,7.0,4.0,3.0,8.0
CS301,A017,2.0,4.0,12.0,7.0,9.0
CS301,A018,8.0,11.0,6.0,11.0,10.0
CS301,A019,13.0,7.0,9.0,11.0,8.0
CS301,A020,5.0,4.0,8.0,12.0,3.0
DS200,A006,9.0,8.0,7.0,7.0,9.0
DS200,A007,7.0,5.0,8.0,7.0,7.0
DS200,A008,10.0,9.0,4.0,9.0,3.0
DS200,A009,4.0,9.0,9.0,7.0,9.0
DS200,A010,5.0,8.0,4.0,5.0,11.0
DS400,A021,6.0,9.0,5.0,6.0,8.0
DS400,A022,5.0,8.0,7.0,11.0,5.0
DS400,A023,6.0,9.0,9.0,10.0,12.0
DS400,A024,6.0,3.0,8.0,4.0,10.0
DS400,A025,9.0,9.0,5.0,5.0,8.0
MATH150,A011,7.0,4.0,11.0,8.0,9.0
MATH150,A012,6.0,6.0,7.0,5.0,9.0
MATH150,A013,7.0,6.0,10.0,8.0,7.0
MATH150,A014,12.0,6.0,4.0,9.0,9.0
MATH150,A015,4.0,4.0,11.0,9.0,8.0
